Lat,Lon,secDay,Water temp (C),Salinity (PSU),O2 umol/L,Chl a (mg/m3),sw pCO2 (uatm)
43.720894,-70.147511,59022,1.665989,31.601646000000002,778.5658540000001,1.0081959999999999,223.59691899999999
43.720999,-70.147726,59042,1.7249299999999999,31.603886,778.240701,0.993614,223.535741
43.721140999999996,-70.147924,59062,1.727656,31.603533000000002,778.200207,0.982059,225.19106499999998
43.721107,-70.148111,59082,1.718107,31.602588,778.179919,0.9709959999999999,226.88972599999997
43.721049,-70.148158,59102,1.727423,31.601954,778.100564,0.969599,228.46892999999997
43.721030999999996,-70.148127,59122,1.7349080000000001,31.601315999999997,777.870241,0.9732540000000001,229.274838
43.720997,-70.148101,59142,1.705225,31.601815999999996,777.619529,0.977175,230.148414
43.720951,-70.148084,59162,1.683655,31.602752000000002,777.405886,0.9755469999999999,229.93602599999997
43.720921000000004,-70.148101,59182,1.696489,31.605864,777.391205,0.9669059999999999,230.39477000000002
43.720914,-70.148162,59202,1.749284,31.604415000000003,777.4115730000001,0.9596120000000001,234.14774900000003
43.720892,-70.148212,59222,1.76213,31.604533,777.404769,0.953003,236.176792
43.720869,-70.148206,59242,1.760073,31.605748,777.224723,0.9521719999999999,233.759988
43.720841,-70.148167,59262,1.7483080000000002,31.606832,777.05567,0.9547370000000001,233.299665
43.720794,-70.14814100000001,59282,1.749771,31.607563,776.921071,0.95611,232.43856200000002
43.720746000000005,-70.148154,59302,1.7417529999999999,31.607642,776.792975,0.958543,232.64925899999997
43.720733,-70.148095,59322,1.742682,31.60983,776.599709,0.961297,232.59271099999998
43.720734,-70.148042,59342,1.7408990000000002,31.610175,776.3772299999999,0.966202,232.15066800000002
43.720746999999996,-70.148042,59362,1.7431450000000002,31.609481,776.389709,0.965934,232.43865
43.720748,-70.14805,59382,1.7279849999999999,31.609056,776.4865530000001,0.966968,232.799052
43.720754,-70.14805,59402,1.729607,31.60803,776.6128610000001,0.986017,233.222094
43.720758000000004,-70.14805,59422,1.727934,31.607207,776.609511,1.0102209999999998,232.80616099999997
43.720758000000004,-70.14805600000001,59442,1.7255340000000001,31.608354,776.587588,1.03348,232.62836600000003
43.720755,-70.14805799999999,59462,1.7330709999999998,31.608221,776.55963,1.0365440000000001,232.66247
43.72075,-70.14805,59482,1.724017,31.608494,776.480501,1.035468,232.73941000000002
43.720748,-70.14805,59502,1.713012,31.609738,776.386435,1.032006,234.148913
43.720751,-70.148054,59522,1.7175639999999999,31.610102,776.297692,1.028426,234.15250600000002
43.720754,-70.148067,59542,1.727291,31.609920000000002,776.294978,1.027773,234.17770499999997
43.720758000000004,-70.148067,59562,1.7321849999999999,31.609857,776.3308910000001,1.021355,234.240365
43.72076,-70.148067,59582,1.7332189999999998,31.610025,776.381207,1.0115020000000001,234.709041
43.720758000000004,-70.148067,59602,1.735009,31.610743,776.388766,1.04195,234.953994
43.720752000000005,-70.148067,59622,1.737064,31.610815000000002,776.353125,1.108301,234.88496099999998
43.720752000000005,-70.148067,59642,1.7283549999999999,31.610828,776.276358,1.1525219999999998,234.361179
43.720751,-70.148044,59662,1.7361810000000002,31.61137,776.17947,1.136369,234.16055099999997
43.72074,-70.148009,59682,1.727507,31.612658000000003,776.038293,1.0747389999999999,234.43654500000002
43.720729999999996,-70.14795699999999,59702,1.7238669999999998,31.613121999999997,775.869206,1.057777,233.974773
43.720711,-70.147887,59722,1.733557,31.61246,775.7470959999999,1.063359,234.754737
43.720689,-70.147824,59742,1.746013,31.610568,775.6603769999999,1.054207,234.550091
43.720667999999996,-70.147767,59762,1.7474060000000002,31.611846999999997,775.591029,1.022142,234.456546
43.720633,-70.147697,59782,1.753753,31.613001,775.426787,0.984593,234.77820499999999
43.720487,-70.14769799999999,59802,1.746473,31.614994,774.902821,0.9677610000000001,234.37796200000003
43.720312,-70.147852,59822,1.752863,31.621249,774.082237,0.955893,233.947641
43.720181,-70.148076,59842,1.8133830000000002,31.632463,773.3404929999999,0.945235,234.091327
43.720117,-70.14834499999999,59862,1.869591,31.637968,772.941334,0.942415,233.81180099999997
43.720141999999996,-70.14862,59882,1.905243,31.641533000000003,772.9172599999999,0.944383,234.849436
43.720233,-70.14887,59902,1.9221150000000002,31.6439,772.960383,0.945901,236.453646
43.720337,-70.14896,59922,1.9062119999999998,31.639982,773.301038,0.946818,237.60872
43.720391,-70.14890799999999,59942,1.869879,31.636870000000002,773.749312,0.945932,238.667486
43.720395,-70.14886700000001,59962,1.8699459999999999,31.636937,773.35331,0.949623,239.440956
43.720372999999995,-70.14885600000001,59982,1.882161,31.638267,771.989774,0.9652229999999999,240.34346299999999
43.720344,-70.148841,60002,1.8730229999999999,31.641919,770.102475,0.9798610000000001,239.371496
43.720406,-70.148878,60262,1.858323,31.641246999999996,774.072974,0.980517,243.20723900000002
43.720406,-70.14891999999999,60282,1.8529349999999998,31.640958,774.020371,0.9881780000000001,243.674508
43.720448,-70.148964,60302,1.834041,31.637642,774.051949,0.979582,244.40375299999997
43.720365,-70.148926,60322,1.8114259999999998,31.634990999999996,774.077506,0.968562,245.053798
43.72019,-70.149011,60342,1.784057,31.634041999999997,774.2836570000001,0.9508110000000001,244.38593799999998
43.720071999999995,-70.149123,60362,1.792413,31.632772999999997,774.674087,0.9355100000000001,244.826717
43.720014,-70.149227,60382,1.8312009999999999,31.624253999999997,775.155741,0.917358,243.636167
43.719982,-70.149342,60402,1.852582,31.619126,775.325795,0.9063680000000001,242.175221
43.719962,-70.149462,60422,1.8492119999999999,31.625194,775.157765,0.9025350000000001,240.938323
43.719946,-70.149527,60442,1.865932,31.627391999999997,774.898553,0.89981,240.001672
43.71991,-70.14953299999999,60462,1.8835099999999998,31.623822999999998,774.696716,0.896224,239.00141200000002
43.719871000000005,-70.149539,60482,1.8857970000000002,31.628186,774.55859,0.895223,238.705415
43.71985,-70.14957,60502,1.8983869999999998,31.632029,774.229022,0.902273,238.839954
43.719827,-70.149598,60522,1.900936,31.634907000000002,773.925426,0.9107200000000001,239.236614
43.719788,-70.149562,60542,1.8915939999999998,31.633803000000004,773.7273700000001,0.9123030000000001,238.72194199999998
43.719732,-70.149532,60562,1.875851,31.636296,773.786397,0.911378,239.128188
43.719654999999996,-70.14960400000001,60582,1.865925,31.638996999999996,773.785125,0.9077850000000001,239.84766299999998
43.719569,-70.14969,60602,1.873403,31.64262,773.678257,0.905802,239.56463
43.719516999999996,-70.149749,60622,1.899102,31.644371000000003,773.481433,0.9056649999999999,239.755323
43.719509,-70.149866,60642,1.9397529999999998,31.648798,773.325862,0.9128379999999999,239.887113
43.719522,-70.150075,60662,1.957672,31.651834,773.2235059999999,0.920766,240.60732000000002
43.719611,-70.150284,60682,1.9714759999999998,31.649915999999997,773.011317,0.9213959999999999,240.218987
43.719612,-70.15051600000001,60702,1.965459,31.646845000000003,772.781025,0.9190870000000001,240.687768
43.719623,-70.150764,60722,1.9641959999999998,31.649034999999998,772.5487860000001,0.917817,240.57867000000002
43.719577,-70.15095,60742,1.946295,31.646615999999998,772.286928,0.9186110000000001,240.43303999999998
43.719547999999996,-70.151039,60762,1.951283,31.647071999999998,772.043901,0.915967,240.617502
43.719534,-70.15103,60782,1.9924979999999999,31.648515999999997,771.84263,0.911906,241.63457999999997
43.719497,-70.150961,60802,2.007673,31.648293,771.753541,0.9123129999999999,240.99477799999997
43.719463,-70.15085400000001,60822,2.0050689999999998,31.652321999999998,771.651787,0.918999,241.478007
43.719431,-70.150805,60842,1.997326,31.651317,771.52515,0.920954,241.16358799999998
43.71942,-70.150828,60862,2.008575,31.653819,771.415698,0.923055,242.11347400000002
43.719424,-70.150787,60882,2.0147909999999998,31.655582,771.026254,0.922268,243.816578
43.71946,-70.15073199999999,60902,2.0039990000000003,31.658163000000002,770.324605,0.9263170000000001,245.12252900000001
43.719481,-70.150685,60922,2.031384,31.676332000000002,769.2684730000001,0.9403459999999999,245.60307400000002
43.719516999999996,-70.15066800000001,60942,2.059993,31.690387,768.925443,0.965656,245.541463
43.71971,-70.15061,60962,2.033245,31.665809999999997,769.469151,0.9699629999999999,245.6115
43.720021,-70.150378,60982,1.9971889999999999,31.652815000000004,770.808089,0.957521,246.63966800000003
43.72037,-70.150086,61002,1.9520060000000001,31.636549,772.210361,0.9259149999999999,247.139946
43.720777000000005,-70.149687,61022,1.903677,31.626255,773.458956,0.911589,245.14840499999997
43.721185,-70.149295,61042,1.8665610000000001,31.619513,774.588345,0.9048950000000001,244.428319
43.721579,-70.14886899999999,61062,1.833808,31.617989,775.380416,0.9103629999999999,242.970841
43.721961,-70.14841899999999,61082,1.8166400000000003,31.621234,775.801846,0.9227549999999999,241.359761
43.722285,-70.14799599999999,61102,1.804107,31.619279,776.000491,0.9333530000000001,239.197434
43.722513,-70.147661,61122,1.7685099999999998,31.606647,776.776467,0.945421,238.199891
43.722753000000004,-70.147273,61142,1.674294,31.586169,778.214192,0.964458,237.07214900000002
43.722806,-70.14688000000001,61162,1.603537,31.576238,780.190275,0.9842190000000001,236.78407099999998
43.722718,-70.146507,61182,1.586455,31.5759,781.477046,0.99735,234.102043
43.722594,-70.14623399999999,61201,1.585133,31.5762,781.902654,0.9997010000000001,230.67746499999998
43.722516999999996,-70.146097,61222,1.587996,31.576421999999997,781.767249,1.0039770000000001,228.55770299999998
43.722504,-70.14609899999999,61242,1.5938510000000001,31.577923,781.471282,1.009778,227.64452400000002
43.722546,-70.146159,61262,1.597127,31.577104,781.376945,1.013902,226.880461
43.722576000000004,-70.14615,61282,1.582058,31.576949,781.3179230000001,1.022357,227.10621099999997
43.722549,-70.146103,61302,1.551035,31.578287,781.273054,1.031785,227.003871
43.722506,-70.146068,61322,1.523327,31.578703000000004,781.223205,1.037584,227.474563
43.722466,-70.146039,61342,1.5309270000000001,31.578409999999998,781.1111490000001,1.034617,228.537248
43.722429,-70.14600300000001,61362,1.576318,31.577607,781.151629,1.026174,229.602281
43.722382,-70.145987,61382,1.602451,31.576579,781.336156,1.019544,228.17385299999998
43.722353000000005,-70.145888,61402,1.6151719999999998,31.577415000000002,781.5365009999999,1.016577,227.353562
43.722691,-70.144708,61702,1.634228,31.587885999999997,781.257452,1.065496,230.113683
43.722669,-70.144634,61722,1.634851,31.587527,781.218757,1.067903,230.618298
43.722693,-70.144535,61742,1.6382940000000001,31.587286,781.2215980000001,1.059224,231.17918500000002
43.722708000000004,-70.14445500000001,61762,1.6283450000000002,31.587778000000004,781.364912,1.05125,231.52272299999998
43.722663,-70.14450500000001,61782,1.6145180000000001,31.588575,781.409767,1.054337,231.353229
43.722640999999996,-70.14451,61802,1.628501,31.58847,781.3316269999999,1.0570110000000001,231.062032
43.722621999999994,-70.144483,61822,1.644366,31.587788,781.152224,1.058176,230.301154
43.722607,-70.144492,61842,1.650147,31.588006,781.07711,1.054222,230.516373
43.722599,-70.144503,61862,1.648048,31.588677,781.143504,1.058745,230.87005
43.722582,-70.14446,61882,1.645102,31.589327,781.24837,1.0638729999999998,231.26389300000002
43.722555,-70.144374,61902,1.6373229999999999,31.589567,781.302123,1.066616,230.781848
43.722547,-70.14423000000001,61922,1.639784,31.590231,781.3412139999999,1.064546,231.91932999999997
43.722532,-70.143958,61942,1.642856,31.590217,781.580637,1.065698,233.363975
43.722512,-70.143625,61962,1.646291,31.588416,782.172206,1.068531,233.07835899999998
43.722487,-70.143292,61982,1.631422,31.586207,783.076407,1.0712709999999999,231.65557900000002
43.722555,-70.142984,62002,1.617846,31.584667,783.996217,1.074091,229.877444
43.723886,-70.142825,62402,1.6398,31.585865000000002,785.614729,1.098224,225.47801800000002
43.723813,-70.142967,62422,1.609033,31.58773,785.5019219999999,1.1039219999999998,225.061821
43.723681,-70.143212,62442,1.6099700000000001,31.587086,785.179386,1.109702,225.226535
43.723525,-70.143507,62462,1.594198,31.585779,784.653971,1.099567,224.684875
43.723378000000004,-70.143823,62482,1.585399,31.588353,784.025135,1.082057,224.265392
43.723258,-70.14415,62502,1.592401,31.586082,783.324294,1.059835,223.728495
43.723135,-70.144492,62522,1.599067,31.586178000000004,782.60604,1.046832,224.258623
43.723,-70.144825,62542,1.6113520000000001,31.588236,781.967283,1.0317049999999999,224.494867
43.722883,-70.145158,62562,1.6175540000000002,31.586609999999997,781.531577,1.0223200000000001,224.769386
43.722789,-70.145495,62582,1.633864,31.582769,781.326541,1.009649,224.828099
43.722707,-70.14585,62602,1.6352149999999999,31.580574,781.290561,1.000414,225.05241600000002
43.722657,-70.14613299999999,62622,1.632452,31.579790000000003,781.342529,0.99271,225.63661299999998
43.722652000000004,-70.146311,62642,1.63895,31.578609000000004,781.4564809999999,0.990756,225.88324100000003
43.722644,-70.14635,62662,1.652095,31.577795000000002,781.611534,0.986259,226.069927
43.722654,-70.14638599999999,62682,1.666755,31.57722,781.736905,0.982877,225.85837599999996
43.722682,-70.146472,62702,1.653746,31.577690999999998,781.823536,0.9775379999999999,225.471964
43.722698,-70.14649,62722,1.629679,31.578484000000003,781.910253,0.980664,225.759277
43.722724,-70.146477,62742,1.6182530000000002,31.578723999999998,781.951372,0.984712,225.845369
43.722757,-70.14645300000001,62762,1.609407,31.579381,781.9504820000001,0.990718,225.50433999999998
